sl_no,city,accidents_2022,accidents_2023,accidents_rank_2022,accidents_rank_2023,killed_2022,killed_2023,killed_rank_2022,killed_rank_2023,injured_2022,injured_2023,injured_rank_2022,injured_rank_2023,fatality_rate_2023,fatality_rate_2022
1,Agra,1029,1007,28,29,548,499,9,11,795,657,29,31,49.55,53.26
2,Ahmedabad,1711,1767,19,19,488,535,11,8,1305,1347,21,21,30.28,28.52
3,Allahabad (Prayagraj),1370,1297,24,24,603,582,6,5,886,865,28,28,44.87,44.01
4,Amritsar,117,147,50,50,82,110,48,48,62,73,50,50,74.83,70.09
5,Asansol Durgapur,494,500,40,42,359,353,17,17,309,271,44,44,70.6,72.67
6,Aurangabad,528,619,38,35,199,203,34,36,370,431,42,40,32.79,37.69
7,Bengaluru,3822,4974,4,2,772,915,2,2,3189,4162,6,3,18.4,20.2
8,Bhopal,3313,2906,6,9,348,196,20,39,2645,2196,8,15,6.74,10.5
9,Chandigarh,237,182,47,49,83,67,47,49,203,171,45,47,36.81,35.02
10,Chennai,3452,3653,5,4,507,503,10,10,3724,3958,4,4,13.77,14.69
11,Coimbatore,1085,1161,26,28,272,305,28,27,939,993,25,24,26.27,25.07
12,Delhi,5652,5834,1,1,1461,1457,1,1,5201,5470,1,1,24.97,25.85
13,Dhanbad,179,435,48,46,114,306,45,26,73,135,49,49,70.34,63.69
14,Faridabad,594,598,35,37,263,269,30,28,452,485,37,38,44.98,44.28
15,Ghaziabad,886,991,30,30,363,365,16,16,638,703,30,30,36.83,40.97
16,Gwalior,2057,2064,13,16,353,344,19,19,1498,1567,18,18,16.67,17.16
17,Hyderabad,2516,2943,9,7,323,335,23,20,2252,2596,10,10,11.38,12.84
18,Indore,4680,3566,2,5,639,257,5,31,3967,2806,3,7,7.21,13.65
19,Jabalpur,4046,4205,3,3,481,545,12,7,4181,4753,2,2,12.96,11.89
20,Jaipur,2687,2915,8,8,765,849,3,3,2167,2331,12,11,29.13,28.47
21,Jamshedpur,167,329,49,47,68,218,49,33,115,214,48,45,66.26,40.72
22,Jodhpur,684,686,33,33,269,261,29,30,505,565,36,35,38.05,39.33
23,Kannur,1635,1636,20,20,149,117,43,46,2118,2018,14,16,7.15,9.11
24,Kanpur,1424,1342,23,23,640,638,4,4,1011,985,24,25,47.54,44.94
25,Khozikode,2054,2194,14,14,195,172,36,42,2164,2265,13,14,7.84,9.49
26,Kochi,2432,2803,10,10,156,177,41,41,2361,2788,9,8,6.31,6.41
27,Kolkata,1948,1994,15,17,185,159,38,44,1718,1754,16,17,7.97,9.5
28,Kollam,2082,2136,12,15,214,211,31,34,2175,2318,11,13,9.88,10.28
29,Kota,444,592,44,38,111,114,46,47,432,641,39,33,19.26,25.0
30,Lucknow,1349,1460,25,22,587,568,7,6,935,983,26,26,38.9,43.51
31,Ludhiana,467,504,43,41,364,402,15,12,174,209,46,46,79.76,77.94
32,Madurai,744,768,32,32,192,264,37,29,601,583,33,34,34.38,25.81
33,Mallapuram,2991,3253,7,6,320,309,24,23,3499,3801,5,5,9.5,10.7
34,Meerut,926,939,29,31,345,395,21,13,935,848,26,29,42.07,37.26
35,Mumbai,1895,2533,17,12,371,384,14,14,1671,2617,17,9,15.16,19.58
36,Nagpur,1080,1213,27,27,310,308,25,25,1169,1211,23,23,25.39,28.7
37,Nashik,479,481,41,44,207,208,33,35,540,493,35,36,43.24,43.22
38,Patna,275,322,46,48,198,200,35,37,121,166,47,48,62.11,72.0
39,Pune,871,1230,31,26,325,351,22,18,608,881,32,27,28.54,37.31
40,Raipur,1911,1961,16,18,583,507,8,9,1322,1440,20,19,25.85,30.51
41,Rajkot,498,494,39,43,150,178,42,40,422,380,40,42,36.03,30.12
42,Srinagar,426,476,45,45,53,56,50,50,438,492,38,37,11.76,12.44
43,Surat,683,650,34,34,293,309,27,24,553,461,34,39,47.54,42.9
44,Thiruvanthapuram,1825,2213,18,13,171,137,40,45,1911,2326,15,12,6.19,9.37
45,Thrissur,2374,2613,11,11,210,231,32,32,2711,3029,7,6,8.84,8.85
46,Tiruchirapalli,542,619,36,36,149,165,43,43,624,652,31,32,26.66,27.49
47,Vadodra,478,566,42,39,181,199,39,38,378,404,41,41,35.16,37.87
48,Varanasi,539,558,37,40,294,327,26,21,330,344,43,43,58.6,54.55
49,Vijaywada city,1543,1522,21,21,418,373,13,15,1367,1416,19,20,24.51,27.09
50,Vizaq,1531,1293,22,25,358,322,18,22,1288,1222,22,22,24.9,23.38
