year,total_accidents,fatal_accidents,fatal_share_pct,persons_killed,persons_injured,severity
2005,439255,83491,19.0,94968,465282,21.6
2006,460920,93917,20.4,105749,496481,22.9
2007,479216,101161,21.1,114444,513340,23.9
2008,484704,106591,22.0,119860,523193,24.7
2009,486384,110993,22.8,125660,515458,25.8
2010,499628,119558,23.9,134513,527512,26.9
2011,497686,121618,24.4,142485,511394,28.6
2012,490383,123093,25.1,138258,509667,28.2
2013,486476,122589,25.2,137572,494893,28.3
2014,489400,125828,25.7,139671,493474,28.5
2015,505770,132138,26.1,146555,503608,29.0
2016,484756,136459,28.2,151192,497806,31.2
2017,469242,136952,29.2,150003,467389,32.0
2018,470403,143738,30.6,157593,464715,33.5
2019,456959,145332,31.8,158984,449360,34.8
2020,372181,127307,34.2,138383,346747,37.2
2021,412432,142163,34.5,153972,384448,37.3
2022,461312,155781,33.8,168491,443366,36.5
2023,480583,160509,33.4,172890,462825,36.0
