sl_no,state,accidents_2019,accidents_2020,accidents_2021,accidents_2022,accidents_2023
1,Andhra Pradesh,21992.0,19509.0,21556,21249.0,19949.0
2,Arunachal Pradesh,237.0,134.0,283,227.0,287.0
3,Assam,8350.0,6595.0,7411,7023.0,7421.0
4,Bihar,10007.0,8639.0,9553,10801.0,11014.0
5,Chhattisgarh,13899.0,11656.0,12375,13279.0,13468.0
6,Goa,3440.0,2375.0,2849,3011.0,2846.0
7,Gujarat,17046.0,13398.0,15186,15751.0,16349.0
8,Haryana,10944.0,9431.0,9933,10429.0,10463.0
9,Himachal Pradesh,2873.0,2239.0,2404,2597.0,2253.0
10,Jharkhand,5217.0,4405.0,4728,5175.0,5315.0
11,Karnataka,40658.0,34178.0,34647,39762.0,43440.0
12,Kerala,41111.0,27877.0,33296,43910.0,48091.0
13,Madhya Pradesh,50669.0,45266.0,48877,54432.0,55327.0
14,Maharashtra,32925.0,24971.0,29477,33383.0,35243.0
15,Manipur,672.0,432.0,366,508.0,398.0
16,Meghalaya,482.0,214.0,245,246.0,223.0
17,Mizoram,62.0,53.0,69,133.0,106.0
18,Nagaland,358.0,500.0,746,489.0,303.0
19,Odisha,11064.0,9817.0,10983,11663.0,11992.0
20,Punjab,6348.0,5203.0,5871,6138.0,6269.0
21,Rajasthan,23480.0,19114.0,20951,23614.0,24694.0
22,Sikkim,162.0,138.0,155,211.0,182.0
23,Tamil Nadu,62685.0,49844.0,55682,64105.0,67213.0
24,Telangana,21570.0,19172.0,21315,21619.0,22903.0
25,Tripura,655.0,466.0,479,575.0,577.0
26,Uttarakhand,1352.0,1041.0,1405,1674.0,1691.0
27,Uttar Pradesh,42572.0,34243.0,37729,41746.0,44534.0
28,West Bengal,12658.0,10863.0,11937,13686.0,13795.0
29,Andaman & Nicobar Islands,230.0,141.0,115,141.0,143.0
30,Chandigarh,305.0,159.0,208,237.0,182.0
31,Dadra & Nagar Haveli,68.0,100.0,140,196.0,182.0
32,Daman & Diu,69.0,0.0,33,,
33,Delhi,5610.0,4178.0,4720,5652.0,5834.0
34,Jammu & Kashmir,5796.0,4860.0,5452,6092.0,6298.0
35,Ladakh,,,236,374.0,289.0
36,Lakshadweep,1.0,1.0,4,3.0,1.0
37,Puducherry,1392.0,969.0,1049,1181.0,1308.0
