sl_no,state,killed_2019,killed_2020,killed_2021,killed_2022,killed_2023
1,Andhra Pradesh,7984.0,7039.0,8186,8293.0,8137.0
2,Arunachal Pradesh,127.0,73.0,157,148.0,145.0
3,Assam,3208.0,2629.0,3036,2994.0,3296.0
4,Bihar,7205.0,6699.0,7660,8898.0,8873.0
5,Chhattisgarh,5003.0,4606.0,5371,5834.0,6166.0
6,Goa,297.0,223.0,226,271.0,290.0
7,Gujarat,7390.0,6170.0,7452,7618.0,7854.0
8,Haryana,5057.0,4507.0,4706,4915.0,4968.0
9,Himachal Pradesh,1146.0,893.0,1052,1032.0,889.0
10,Jharkhand,3801.0,3044.0,3513,3898.0,4173.0
11,Karnataka,10958.0,9760.0,10038,11702.0,12321.0
12,Kerala,4440.0,2979.0,3429,4317.0,4080.0
13,Madhya Pradesh,11249.0,11141.0,12057,13427.0,13798.0
14,Maharashtra,12788.0,11569.0,13528,15224.0,15366.0
15,Manipur,156.0,127.0,110,127.0,73.0
16,Meghalaya,179.0,144.0,187,162.0,168.0
17,Mizoram,48.0,42.0,56,113.0,96.0
18,Nagaland,26.0,53.0,55,73.0,86.0
19,Odisha,5333.0,4738.0,5081,5467.0,5739.0
20,Punjab,4525.0,3898.0,4589,4756.0,4829.0
21,Rajasthan,10563.0,9250.0,10043,11104.0,11762.0
22,Sikkim,73.0,47.0,56,92.0,57.0
23,Tamil Nadu,18129.0,14527.0,15384,17884.0,18347.0
24,Telangana,6964.0,6882.0,7557,7559.0,7660.0
25,Tripura,239.0,192.0,194,241.0,261.0
26,Uttarakhand,867.0,674.0,820,1042.0,1054.0
27,Uttar Pradesh,22655.0,19149.0,21227,22595.0,23652.0
28,West Bengal,5767.0,5128.0,5800,6002.0,6027.0
29,Andaman & Nicobar Islands,20.0,14.0,20,19.0,24.0
30,Chandigarh,104.0,53.0,96,83.0,67.0
31,Dadra & Nagar Haveli,49.0,64.0,76,90.0,74.0
32,Daman & Diu,28.0,33.0,35,,
33,Delhi,1463.0,1196.0,1239,1461.0,1457.0
34,Jammu & Kashmir,996.0,728.0,774,805.0,893.0
35,Ladakh,,,56,62.0,59.0
36,Lakshadweep,0.0,0.0,1,2.0,0.0
37,Puducherry,147.0,145.0,140,181.0,149.0
