state,year,accidents,killed,fatality_rate_per_100
Andhra Pradesh,2019,21992.0,7984.0,36.3
Andhra Pradesh,2020,19509.0,7039.0,36.08
Andhra Pradesh,2021,21556.0,8186.0,37.98
Andhra Pradesh,2022,21249.0,8293.0,39.03
Andhra Pradesh,2023,19949.0,8137.0,40.79
Arunachal Pradesh,2019,237.0,127.0,53.59
Arunachal Pradesh,2020,134.0,73.0,54.48
Arunachal Pradesh,2021,283.0,157.0,55.48
Arunachal Pradesh,2022,227.0,148.0,65.2
Arunachal Pradesh,2023,287.0,145.0,50.52
Assam,2019,8350.0,3208.0,38.42
Assam,2020,6595.0,2629.0,39.86
Assam,2021,7411.0,3036.0,40.97
Assam,2022,7023.0,2994.0,42.63
Assam,2023,7421.0,3296.0,44.41
Bihar,2019,10007.0,7205.0,72.0
Bihar,2020,8639.0,6699.0,77.54
Bihar,2021,9553.0,7660.0,80.18
Bihar,2022,10801.0,8898.0,82.38
Bihar,2023,11014.0,8873.0,80.56
Chhattisgarh,2019,13899.0,5003.0,36.0
Chhattisgarh,2020,11656.0,4606.0,39.52
Chhattisgarh,2021,12375.0,5371.0,43.4
Chhattisgarh,2022,13279.0,5834.0,43.93
Chhattisgarh,2023,13468.0,6166.0,45.78
Goa,2019,3440.0,297.0,8.63
Goa,2020,2375.0,223.0,9.39
Goa,2021,2849.0,226.0,7.93
Goa,2022,3011.0,271.0,9.0
Goa,2023,2846.0,290.0,10.19
Gujarat,2019,17046.0,7390.0,43.35
Gujarat,2020,13398.0,6170.0,46.05
Gujarat,2021,15186.0,7452.0,49.07
Gujarat,2022,15751.0,7618.0,48.37
Gujarat,2023,16349.0,7854.0,48.04
Haryana,2019,10944.0,5057.0,46.21
Haryana,2020,9431.0,4507.0,47.79
Haryana,2021,9933.0,4706.0,47.38
Haryana,2022,10429.0,4915.0,47.13
Haryana,2023,10463.0,4968.0,47.48
Himachal Pradesh,2019,2873.0,1146.0,39.89
Himachal Pradesh,2020,2239.0,893.0,39.88
Himachal Pradesh,2021,2404.0,1052.0,43.76
Himachal Pradesh,2022,2597.0,1032.0,39.74
Himachal Pradesh,2023,2253.0,889.0,39.46
Jharkhand,2019,5217.0,3801.0,72.86
Jharkhand,2020,4405.0,3044.0,69.1
Jharkhand,2021,4728.0,3513.0,74.3
Jharkhand,2022,5175.0,3898.0,75.32
Jharkhand,2023,5315.0,4173.0,78.51
Karnataka,2019,40658.0,10958.0,26.95
Karnataka,2020,34178.0,9760.0,28.56
Karnataka,2021,34647.0,10038.0,28.97
Karnataka,2022,39762.0,11702.0,29.43
Karnataka,2023,43440.0,12321.0,28.36
Kerala,2019,41111.0,4440.0,10.8
Kerala,2020,27877.0,2979.0,10.69
Kerala,2021,33296.0,3429.0,10.3
Kerala,2022,43910.0,4317.0,9.83
Kerala,2023,48091.0,4080.0,8.48
Madhya Pradesh,2019,50669.0,11249.0,22.2
Madhya Pradesh,2020,45266.0,11141.0,24.61
Madhya Pradesh,2021,48877.0,12057.0,24.67
Madhya Pradesh,2022,54432.0,13427.0,24.67
Madhya Pradesh,2023,55327.0,13798.0,24.94
Maharashtra,2019,32925.0,12788.0,38.84
Maharashtra,2020,24971.0,11569.0,46.33
Maharashtra,2021,29477.0,13528.0,45.89
Maharashtra,2022,33383.0,15224.0,45.6
Maharashtra,2023,35243.0,15366.0,43.6
Manipur,2019,672.0,156.0,23.21
Manipur,2020,432.0,127.0,29.4
Manipur,2021,366.0,110.0,30.05
Manipur,2022,508.0,127.0,25.0
Manipur,2023,398.0,73.0,18.34
Meghalaya,2019,482.0,179.0,37.14
Meghalaya,2020,214.0,144.0,67.29
Meghalaya,2021,245.0,187.0,76.33
Meghalaya,2022,246.0,162.0,65.85
Meghalaya,2023,223.0,168.0,75.34
Mizoram,2019,62.0,48.0,77.42
Mizoram,2020,53.0,42.0,79.25
Mizoram,2021,69.0,56.0,81.16
Mizoram,2022,133.0,113.0,84.96
Mizoram,2023,106.0,96.0,90.57
Nagaland,2019,358.0,26.0,7.26
Nagaland,2020,500.0,53.0,10.6
Nagaland,2021,746.0,55.0,7.37
Nagaland,2022,489.0,73.0,14.93
Nagaland,2023,303.0,86.0,28.38
Odisha,2019,11064.0,5333.0,48.2
Odisha,2020,9817.0,4738.0,48.26
Odisha,2021,10983.0,5081.0,46.26
Odisha,2022,11663.0,5467.0,46.87
Odisha,2023,11992.0,5739.0,47.86
Punjab,2019,6348.0,4525.0,71.28
Punjab,2020,5203.0,3898.0,74.92
Punjab,2021,5871.0,4589.0,78.16
Punjab,2022,6138.0,4756.0,77.48
Punjab,2023,6269.0,4829.0,77.03
Rajasthan,2019,23480.0,10563.0,44.99
Rajasthan,2020,19114.0,9250.0,48.39
Rajasthan,2021,20951.0,10043.0,47.94
Rajasthan,2022,23614.0,11104.0,47.02
Rajasthan,2023,24694.0,11762.0,47.63
Sikkim,2019,162.0,73.0,45.06
Sikkim,2020,138.0,47.0,34.06
Sikkim,2021,155.0,56.0,36.13
Sikkim,2022,211.0,92.0,43.6
Sikkim,2023,182.0,57.0,31.32
Tamil Nadu,2019,62685.0,18129.0,28.92
Tamil Nadu,2020,49844.0,14527.0,29.14
Tamil Nadu,2021,55682.0,15384.0,27.63
Tamil Nadu,2022,64105.0,17884.0,27.9
Tamil Nadu,2023,67213.0,18347.0,27.3
Telangana,2019,21570.0,6964.0,32.29
Telangana,2020,19172.0,6882.0,35.9
Telangana,2021,21315.0,7557.0,35.45
Telangana,2022,21619.0,7559.0,34.96
Telangana,2023,22903.0,7660.0,33.45
Tripura,2019,655.0,239.0,36.49
Tripura,2020,466.0,192.0,41.2
Tripura,2021,479.0,194.0,40.5
Tripura,2022,575.0,241.0,41.91
Tripura,2023,577.0,261.0,45.23
Uttarakhand,2019,1352.0,867.0,64.13
Uttarakhand,2020,1041.0,674.0,64.75
Uttarakhand,2021,1405.0,820.0,58.36
Uttarakhand,2022,1674.0,1042.0,62.25
Uttarakhand,2023,1691.0,1054.0,62.33
Uttar Pradesh,2019,42572.0,22655.0,53.22
Uttar Pradesh,2020,34243.0,19149.0,55.92
Uttar Pradesh,2021,37729.0,21227.0,56.26
Uttar Pradesh,2022,41746.0,22595.0,54.12
Uttar Pradesh,2023,44534.0,23652.0,53.11
West Bengal,2019,12658.0,5767.0,45.56
West Bengal,2020,10863.0,5128.0,47.21
West Bengal,2021,11937.0,5800.0,48.59
West Bengal,2022,13686.0,6002.0,43.86
West Bengal,2023,13795.0,6027.0,43.69
Andaman & Nicobar Islands,2019,230.0,20.0,8.7
Andaman & Nicobar Islands,2020,141.0,14.0,9.93
Andaman & Nicobar Islands,2021,115.0,20.0,17.39
Andaman & Nicobar Islands,2022,141.0,19.0,13.48
Andaman & Nicobar Islands,2023,143.0,24.0,16.78
Chandigarh,2019,305.0,104.0,34.1
Chandigarh,2020,159.0,53.0,33.33
Chandigarh,2021,208.0,96.0,46.15
Chandigarh,2022,237.0,83.0,35.02
Chandigarh,2023,182.0,67.0,36.81
Dadra & Nagar Haveli,2019,68.0,49.0,72.06
Dadra & Nagar Haveli,2020,100.0,64.0,64.0
Dadra & Nagar Haveli,2021,140.0,76.0,54.29
Dadra & Nagar Haveli,2022,196.0,90.0,45.92
Dadra & Nagar Haveli,2023,182.0,74.0,40.66
Daman & Diu,2019,69.0,28.0,40.58
Daman & Diu,2020,0.0,33.0,inf
Daman & Diu,2021,33.0,35.0,106.06
Daman & Diu,2022,,,
Daman & Diu,2023,,,
Delhi,2019,5610.0,1463.0,26.08
Delhi,2020,4178.0,1196.0,28.63
Delhi,2021,4720.0,1239.0,26.25
Delhi,2022,5652.0,1461.0,25.85
Delhi,2023,5834.0,1457.0,24.97
Jammu & Kashmir,2019,5796.0,996.0,17.18
Jammu & Kashmir,2020,4860.0,728.0,14.98
Jammu & Kashmir,2021,5452.0,774.0,14.2
Jammu & Kashmir,2022,6092.0,805.0,13.21
Jammu & Kashmir,2023,6298.0,893.0,14.18
Ladakh,2019,,,
Ladakh,2020,,,
Ladakh,2021,236.0,56.0,23.73
Ladakh,2022,374.0,62.0,16.58
Ladakh,2023,289.0,59.0,20.42
Lakshadweep,2019,1.0,0.0,0.0
Lakshadweep,2020,1.0,0.0,0.0
Lakshadweep,2021,4.0,1.0,25.0
Lakshadweep,2022,3.0,2.0,66.67
Lakshadweep,2023,1.0,0.0,0.0
Puducherry,2019,1392.0,147.0,10.56
Puducherry,2020,969.0,145.0,14.96
Puducherry,2021,1049.0,140.0,13.35
Puducherry,2022,1181.0,181.0,15.33
Puducherry,2023,1308.0,149.0,11.39
